t,value,temp_fwd,temp_ret
4275,0.3264897083216648,75.0,60.0
4276,0.30083710031157274,75.0,60.0
4277,0.3507161408139377,75.0,60.0
4278,0.1371567259030352,75.0,60.0
4279,0.151537763449709,75.0,60.0
4280,0.10831911189736204,75.0,60.0
4281,0.10576222298991358,75.0,60.0
4282,0.10274044519020177,75.0,60.0
4283,0.09948622294435826,75.0,60.0
4284,0.33945511225446096,75.0,60.0
4285,0.41693612994948953,75.0,60.0
4286,0.33821839962777067,75.0,60.0
4287,0.3187139749331833,75.0,60.0
4288,0.32260315153084745,75.0,60.0
4289,0.33837219598036405,75.0,60.0
4290,0.42754211992938707,75.0,60.0
4291,0.49234604530143483,75.0,60.0
4292,0.5712756896456223,75.0,60.0
4293,0.6021410519894806,75.0,60.0
4294,0.5058997344390328,75.0,60.0
4295,0.4751634502145013,75.0,60.0
4296,0.4151047084958327,75.0,60.0
4297,0.3898144449474979,75.0,60.0
4298,0.387438489667192,75.0,60.0
4299,0.3481158500384622,75.0,60.0
4300,0.294135610937002,75.0,60.0
4301,0.3376991336364573,75.0,60.0
4302,0.11738444529649748,75.0,60.0
4303,0.18640451163561217,75.0,60.0
4304,0.11482755638904901,75.0,60.0
4305,0.13754984167060155,75.0,60.0
4306,0.2140518975603488,75.0,60.0
4307,0.31411782750818573,75.0,60.0
4308,0.42636326566570554,75.0,60.0
4309,0.5049038653742247,75.0,60.0
4310,0.5061022302766691,75.0,60.0
4311,0.5157869719730153,75.0,60.0
4312,0.554372217220155,75.0,60.0
4313,0.6414598885830325,75.0,60.0
4314,0.7611179018449797,75.0,60.0
4315,0.7526564743534705,75.0,60.0
4316,0.7205482356318155,75.0,60.0
4317,0.6510562709839347,75.0,60.0
4318,0.5220332287800404,75.0,60.0
4319,0.48476561350567016,75.0,60.0
4320,0.3938122683830343,75.0,60.0
4321,0.37471424913953943,75.0,60.0
4322,0.3450704935783966,75.0,60.0
4323,0.31456384134668924,75.0,60.0
4324,0.2788041075338194,75.0,60.0
4325,0.3225379836865431,75.0,60.0
4326,0.18383922308618073,75.0,60.0
4327,0.3008436673654388,75.0,60.0
4328,0.2308816846269608,75.0,60.0
4329,0.2776587232506906,75.0,60.0
4330,0.312119913717788,75.0,60.0
4331,0.3716531346414029,75.0,60.0
4332,0.3078801381935707,75.0,60.0
4333,0.4381732367351886,75.0,60.0
4334,0.36916294703423247,75.0,60.0
4335,0.3747783848306737,75.0,60.0
4336,0.38083275179345966,75.0,60.0
4337,0.41784755877727386,75.0,60.0
4338,0.5043852836245539,75.0,60.0
4339,0.540389121428922,75.0,60.0
4340,0.5861149104448997,75.0,60.0
4341,0.5754770898381175,75.0,60.0
4342,0.47001357656427856,75.0,60.0
4343,0.4751634502145013,75.0,60.0
4344,0.3871057795199115,75.0,60.0
4345,0.36811737775291653,75.0,60.0
4346,0.34871141934293004,75.0,60.0
4347,0.289149143638091,75.0,60.0
4348,0.2873097148188032,75.0,60.0
4349,0.196063091651002,75.0,60.0
4350,0.1204062230962093,75.0,60.0
4351,0.11877911197328757,75.0,60.0
4352,0.11552488972744407,75.0,60.0
4353,0.21551472545037623,75.0,60.0
4354,0.31992366509860237,75.0,60.0
4355,0.4347402511007119,75.0,60.0
